,race,age,case_type,offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,recidivism
1,Caucasian,30-39,Misdemeanor,Battery,None,None,None,yes
2,Caucasian,40-49,Felony,Battery,1-5,6-10,None,no
3,African American,18-29,Criminal Traffic,Other,1-5,None,None,no
4,Caucasian,18-29,Felony,Other,None,1-5,None,no
5,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,no
6,African American,30-39,Felony,Other,1-5,1-5,None,yes
7,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
8,African American,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,1-5,yes
9,Caucasian,Younger than 18,Misdemeanor,Battery,None,6-10,6-10,yes
10,African American,18-29,Felony,Battery,1-5,1-5,None,no
11,Caucasian,50-59,Misdemeanor,Other,None,None,None,no
12,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,yes
13,Other,18-29,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
14,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,yes
15,African American,18-29,Felony,Bail Jumping,6-10,1-5,1-5,no
16,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
17,African American,18-29,Felony,Burglary,None,None,None,yes
18,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
19,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,1-5,yes
20,Caucasian,50-59,Misdemeanor,Battery,1-5,6-10,None,yes
21,Caucasian,18-29,Misdemeanor,Bail Jumping,None,None,1-5,yes
22,Other,18-29,Felony,Other,None,6-10,None,yes
23,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
24,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,1-5,None,no
25,Other,30-39,Felony,Other,None,None,None,no
26,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
27,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
28,Caucasian,50-59,Felony,Other,None,None,None,no
29,African American,30-39,Felony,Other,None,None,None,no
30,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
31,Caucasian,50-59,Felony,Other,1-5,None,None,no
32,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,yes
33,African American,Younger than 18,Misdemeanor,Disorderly Conduct,None,1-5,None,no
34,Caucasian,18-29,Felony,Battery,None,None,None,no
35,Caucasian,40-49,Criminal Traffic,Operating While Intoxicated,None,None,None,no
36,Caucasian,Younger than 18,Misdemeanor,Other,1-5,None,None,no
37,Caucasian,50-59,Felony,Other,None,None,1-5,no
38,Other,18-29,Criminal Traffic,Other,None,None,None,no
39,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
40,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
41,Caucasian,18-29,Felony,Other,1-5,None,1-5,no
42,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,yes
43,African American,18-29,Felony,Other,None,1-5,None,yes
44,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
46,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,1-5,yes
47,Other,18-29,Misdemeanor,Disorderly Conduct,None,None,None,no
48,Caucasian,18-29,Felony,Other,1-5,None,None,yes
49,Other,Younger than 18,Felony,Burglary,None,None,None,no
50,Caucasian,30-39,Misdemeanor,Battery,1-5,None,None,no
51,African American,30-39,Misdemeanor,Other,None,None,None,no
52,Other,18-29,Felony,Other,1-5,1-5,None,no
53,African American,18-29,Misdemeanor,Battery,1-5,1-5,None,yes
54,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,no
55,African American,40-49,Felony,Other,6-10,6-10,1-5,no
56,Caucasian,Younger than 18,Felony,Burglary,1-5,1-5,None,yes
57,Other,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
58,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
59,Caucasian,18-29,Felony,Other,1-5,1-5,1-5,no
60,African American,18-29,Misdemeanor,Battery,None,1-5,None,no
61,Caucasian,50-59,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
62,Other,40-49,Misdemeanor,Other,1-5,1-5,None,no
63,Other,30-39,Misdemeanor,Resisting Officer,6-10,6-10,1-5,yes
64,African American,30-39,Misdemeanor,Other,1-5,None,None,no
65,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
66,Caucasian,18-29,Felony,Other,1-5,None,1-5,yes
67,Caucasian,18-29,Criminal Traffic,Other,None,None,None,no
68,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
69,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,no
70,Caucasian,40-49,Criminal Traffic,OAR/OAS,1-5,None,None,no
71,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,no
72,African American,50-59,Misdemeanor,Resisting Officer,1-5,1-5,None,no
73,Other,40-49,Criminal Traffic,Other,None,1-5,None,no
74,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,no
75,Caucasian,18-29,Felony,Other,None,None,None,no
76,African American,18-29,Misdemeanor,Battery,1-5,1-5,None,no
77,African American,18-29,Felony,Other,None,1-5,None,no
78,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,None,yes
79,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
80,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
81,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,1-5,yes
82,African American,18-29,Felony,Battery,None,None,None,no
83,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
84,African American,30-39,Felony,Other,1-5,1-5,None,yes
85,African American,50-59,Criminal Traffic,OAR/OAS,1-5,1-5,None,yes
86,Caucasian,18-29,Felony,Bail Jumping,1-5,More than 10,None,yes
87,Caucasian,18-29,Felony,Bail Jumping,1-5,None,None,no
88,Caucasian,40-49,Misdemeanor,Other,1-5,1-5,None,yes
90,Other,30-39,Felony,Other,1-5,1-5,1-5,yes
91,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
92,African American,18-29,Felony,Battery,None,None,None,yes
93,Caucasian,40-49,Misdemeanor,Other,More than 10,6-10,None,no
94,Caucasian,18-29,Felony,Other,1-5,None,None,no
95,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
96,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,1-5,1-5,1-5,yes
97,Caucasian,30-39,Misdemeanor,Battery,None,None,None,no
98,Caucasian,18-29,Felony,Burglary,1-5,None,None,no
99,Caucasian,40-49,Felony,Other,None,None,None,no
100,Caucasian,30-39,Misdemeanor,Other,None,1-5,None,yes
101,Other,30-39,Misdemeanor,Other,None,None,None,no
102,Caucasian,18-29,Misdemeanor,Other,1-5,None,1-5,yes
104,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
105,Caucasian,18-29,Felony,Other,None,None,None,no
106,African American,18-29,Felony,Other,None,None,None,no
108,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
109,African American,30-39,Misdemeanor,Battery,1-5,1-5,None,no
110,African American,30-39,Felony,Other,1-5,1-5,None,yes
111,African American,50-59,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
114,Caucasian,30-39,Misdemeanor,Disorderly Conduct,1-5,More than 10,More than 10,yes
115,Caucasian,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,6-10,yes
116,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
117,African American,30-39,Misdemeanor,Resisting Officer,1-5,1-5,None,no
118,Caucasian,18-29,Felony,Other,1-5,None,None,yes
119,African American,30-39,Criminal Traffic,Operating While Intoxicated,1-5,None,None,no
122,African American,40-49,Felony,Other,1-5,None,None,no
123,Caucasian,Younger than 18,Felony,Other,1-5,None,None,yes
125,African American,30-39,Criminal Traffic,OAR/OAS,1-5,1-5,1-5,yes
126,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,6-10,1-5,1-5,no
127,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
128,African American,18-29,Felony,Other,1-5,None,None,yes
130,African American,18-29,Criminal Traffic,Operating While Intoxicated,1-5,None,1-5,yes
131,Caucasian,50-59,Misdemeanor,Other,None,None,None,no
133,African American,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,yes
134,Caucasian,18-29,Misdemeanor,Other,None,6-10,None,no
135,Caucasian,18-29,Felony,Other,None,1-5,None,no
136,Caucasian,18-29,Misdemeanor,Other,None,1-5,None,no
137,Other,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
138,Other,18-29,Misdemeanor,Resisting Officer,None,None,None,no
139,African American,30-39,Misdemeanor,Other,None,1-5,None,yes
140,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,yes
141,Caucasian,30-39,Felony,Other,1-5,6-10,1-5,yes
142,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
143,Caucasian,18-29,Misdemeanor,Resisting Officer,None,None,None,no
144,Caucasian,18-29,Felony,Other,None,None,None,no
145,Other,Younger than 18,Misdemeanor,Other,None,1-5,None,yes
146,African American,18-29,Felony,Other,1-5,6-10,None,no
147,Caucasian,18-29,Misdemeanor,Bail Jumping,None,None,1-5,no
148,Other,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,no
149,Other,30-39,Misdemeanor,Bail Jumping,None,1-5,None,no
150,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
151,Other,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
152,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,yes
153,African American,18-29,Felony,Other,None,None,None,no
154,African American,18-29,Felony,Other,1-5,None,None,yes
155,Caucasian,40-49,Criminal Traffic,OAR/OAS,None,None,1-5,yes
157,African American,18-29,Felony,Other,None,1-5,None,no
158,African American,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
159,African American,18-29,Felony,Other,None,None,None,no
161,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
162,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
163,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,None,no
164,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,1-5,1-5,None,no
165,African American,30-39,Misdemeanor,Battery,1-5,More than 10,1-5,yes
166,Caucasian,30-39,Misdemeanor,Other,None,None,None,no
167,Caucasian,18-29,Felony,Other,1-5,6-10,None,no
168,Caucasian,50-59,Felony,Other,1-5,None,None,no
169,Caucasian,30-39,Misdemeanor,Resisting Officer,None,None,None,no
170,African American,30-39,Misdemeanor,Other,1-5,1-5,None,yes
171,African American,18-29,Misdemeanor,Other,None,1-5,None,yes
172,Caucasian,18-29,Misdemeanor,Bail Jumping,1-5,6-10,None,yes
173,African American,18-29,Felony,Battery,1-5,1-5,None,yes
174,Caucasian,18-29,Misdemeanor,Other,None,None,None,yes
175,Caucasian,18-29,Misdemeanor,Battery,None,None,None,no
176,African American,40-49,Criminal Traffic,OAR/OAS,None,1-5,None,yes
177,Caucasian,18-29,Felony,Other,None,1-5,1-5,no
178,Caucasian,30-39,Misdemeanor,Resisting Officer,1-5,None,None,no
179,Caucasian,18-29,Felony,Other,None,None,None,yes
181,African American,30-39,Felony,Other,1-5,1-5,1-5,no
182,Caucasian,18-29,Misdemeanor,Other,1-5,6-10,None,yes
183,Caucasian,40-49,Felony,Other,1-5,1-5,None,no
184,African American,30-39,Misdemeanor,Battery,1-5,1-5,None,yes
185,African American,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,no
187,Other,30-39,Criminal Traffic,Other,1-5,1-5,1-5,no
188,African American,18-29,Criminal Traffic,OAR/OAS,None,None,1-5,yes
189,Other,18-29,Misdemeanor,Battery,None,None,None,no
190,Caucasian,18-29,Felony,Other,1-5,None,None,no
191,Caucasian,Younger than 18,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
192,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,None,yes
193,African American,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
194,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
195,Caucasian,18-29,Felony,Other,1-5,1-5,None,yes
196,Caucasian,18-29,Misdemeanor,Disorderly Conduct,1-5,1-5,None,yes
197,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
198,African American,18-29,Misdemeanor,Other,1-5,1-5,None,no
199,African American,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
200,Caucasian,18-29,Misdemeanor,Other,1-5,None,None,no
201,Other,18-29,Criminal Traffic,Other,None,None,None,no
202,Caucasian,30-39,Misdemeanor,Battery,6-10,1-5,1-5,no
203,Other,18-29,Misdemeanor,Operating While Intoxicated,None,None,None,yes
204,Caucasian,18-29,Felony,Other,None,1-5,None,yes
206,African American,30-39,Misdemeanor,Disorderly Conduct,None,1-5,None,no
207,Caucasian,40-49,Misdemeanor,Battery,None,None,None,no
208,Caucasian,18-29,Misdemeanor,Resisting Officer,None,1-5,None,yes
209,Caucasian,Younger than 18,Criminal Traffic,Other,None,1-5,1-5,yes
210,Caucasian,50-59,Criminal Traffic,Operating While Intoxicated,None,None,None,no
211,Caucasian,18-29,Felony,Other,None,None,None,no
212,Other,18-29,Misdemeanor,Resisting Officer,None,1-5,None,no
213,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,yes
214,Caucasian,18-29,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
215,Caucasian,30-39,Misdemeanor,Other,1-5,1-5,None,yes
216,Caucasian,18-29,Misdemeanor,Battery,None,None,1-5,no
217,Caucasian,18-29,Misdemeanor,Bail Jumping,None,1-5,None,no
218,Caucasian,18-29,Misdemeanor,Other,1-5,1-5,None,no
219,Caucasian,40-49,Misdemeanor,Other,None,1-5,None,no
220,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
221,Caucasian,18-29,Misdemeanor,Battery,1-5,1-5,1-5,no
222,Caucasian,Older than 60,Criminal Traffic,Operating While Intoxicated,None,None,1-5,no
223,African American,30-39,Criminal Traffic,OAR/OAS,None,None,None,no
224,African American,30-39,Felony,Other,6-10,None,None,yes
225,Caucasian,40-49,Misdemeanor,Disorderly Conduct,1-5,6-10,None,yes
226,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
228,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,no
229,Other,30-39,Misdemeanor,Other,1-5,More than 10,1-5,no
230,Caucasian,40-49,Misdemeanor,Other,None,None,None,no
231,Caucasian,30-39,Misdemeanor,Other,1-5,6-10,None,yes
232,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,None,None,no
233,Other,18-29,Misdemeanor,OAR/OAS,None,1-5,1-5,yes
234,Other,Younger than 18,Criminal Traffic,Other,None,None,None,yes
236,Caucasian,40-49,Misdemeanor,Other,None,1-5,None,no
237,Caucasian,50-59,Misdemeanor,Disorderly Conduct,6-10,More than 10,1-5,yes
238,Caucasian,18-29,Misdemeanor,Resisting Officer,1-5,1-5,None,no
239,Other,Younger than 18,Misdemeanor,Other,None,None,None,no
240,Caucasian,40-49,Misdemeanor,Disorderly Conduct,None,None,None,no
241,Caucasian,30-39,Misdemeanor,Disorderly Conduct,None,None,None,yes
242,Caucasian,18-29,Felony,Other,None,None,None,no
243,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,1-5,1-5,no
244,Other,40-49,Felony,Other,1-5,1-5,None,no
245,African American,18-29,Misdemeanor,Other,None,None,1-5,no
246,Caucasian,18-29,Misdemeanor,Disorderly Conduct,None,1-5,1-5,yes
247,Caucasian,30-39,Criminal Traffic,Operating While Intoxicated,None,None,None,no
248,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
249,Caucasian,18-29,Misdemeanor,Other,None,None,None,no
250,Caucasian,18-29,Misdemeanor,Battery,None,1-5,None,no
251,Caucasian,40-49,Misdemeanor,Resisting Officer,None,1-5,None,no
252,Caucasian,18-29,Criminal Traffic,OAR/OAS,None,1-5,1-5,no
